Country,Attribute,Value,World Cup Wins
Croatia,attack,80,0
Croatia,midfield,80,0
Croatia,defense,78,0
Czechia,attack,77,0
Czechia,midfield,76,0
Czechia,defense,75,0
England,attack,84,1
England,midfield,84,1
England,defense,80,1
France,attack,86,2
France,midfield,83,2
France,defense,85,2
Germany,attack,81,4
Germany,midfield,84,4
Germany,defense,84,4
Hungary,attack,74,0
Hungary,midfield,74,0
Hungary,defense,73,0
Italy,attack,79,4
Italy,midfield,83,4
Italy,defense,82,4
Netherlands,attack,83,0
Netherlands,midfield,83,0
Netherlands,defense,82,0
Spain,attack,84,1
Spain,midfield,84,1
Spain,defense,82,1
